key,en,hi,ta,te,bn,gu,mr,pa,ur,kn,ml,or
almonds,Almonds,बादाम,பாதாம்,బాదం,বাদাম,બદામ,बदाम,ਬਦਾਮ,بادام,ಬಾದಾಮಿ,ബദാം,ବାଦାମ |
apple,Apple,सेब,ஆப்பிள்,ఆపిల్,আপেল,એપલ,सफरचंद,ਐਪਲ,سیب,ಆಪಲ್,ആപ്പിൾ,ଆପଲ୍ |
arhar,Arhar,अरहर,அர்ஹர்,అర్హర్,আরহার,અરહર,अरहर,ਅਰਹਰ,ارہر,ಅರ್ಹರ್,അർഹർ,ଆରହର |
bajra,Bajra,बाजरे,பஜ்ரா,బజ్రా,বজরা,બાજરી,बाजरी,ਬਾਜਰਾ,باجرہ,ಬಜ್ರಾ,ബജ്റ,ବାଜ୍ରା
banana,Banana,केला,வாழைப்பழம்,అరటిపండు,কলা,બનાના,केळी,ਕੇਲਾ,کیلا,ಬಾಳೆಹಣ್ಣು,വാഴപ്പഴം,ବାନା |
blackPepper,Black Pepper,काली मिर्च,கருப்பு மிளகு,నల్ల మిరియాలు,কালো মরিচ,કાળા મરી,काळी मिरी,ਕਾਲੀ ਮਿਰਚ,کالی مرچ,ಕಪ್ಪು ಮೆಣಸು,കറുത്ത കുരുമുളക്,କଳା ଲଙ୍କା
cashewnut,Cashewnut,काजू,முந்திரி,జీడిపప్పు,কাজুবাদাম,કાજુ,काजू,ਕਾਜੂ,کاجو,ಗೋಡಂಬಿ,കശുവണ്ടി,କାଜୁନାଟ୍ |
castorSeed,Castor Seed,अरंडी के बीज,ஆமணக்கு விதை,కాస్టర్ సీడ్,ক্যাস্টর বীজ,એરંડાનું બીજ,एरंडेल बी,ਕੈਸਟਰ ਬੀਜ,ارنڈ کا بیج,ಕ್ಯಾಸ್ಟರ್ ಸೀಡ್,ജാതി വിത്ത്,କାଷ୍ଟର ବିହନ |
chillies,Chillies,मिर्च,மிளகாய்,మిరపకాయలు,মরিচ,મરચાં,मिरच्या,ਮਿਰਚ,مرچیں,ಮೆಣಸಿನಕಾಯಿಗಳು,മുളക്,ଚିଲି
coffee,Coffee,कॉफी,காபி,కాఫీ,কফি,કોફી,कॉफी,ਕਾਫੀ,کافی,ಕಾಫಿ,കോഫി,କଫି |
cottonSeed,Cotton Seed,कपास बीज,பருத்தி விதை,పత్తి విత్తనం,তুলা বীজ,કપાસનું બીજ,कापूस बियाणे,ਕਪਾਹ ਬੀਜ,کپاس کا بیج,ಹತ್ತಿ ಬೀಜ,പരുത്തി വിത്ത്,କପା ବିହନ |
garlic,Garlic,लहसुन,பூண்டு,వెల్లుల్లి,রসুন,લસણ,लसूण,ਲਸਣ,لہسن,ಬೆಳ್ಳುಳ್ಳಿ,വെളുത്തുള്ളി,ରସୁଣ |
gram,Gram,ग्राम,கிராம்,గ్రాము,ছোলা,ગ્રામ,हरभरा,ਗ੍ਰਾਮ,چنے,ಗ್ರಾಂ,ഗ്രാം,ଗ୍ରାମ
groundnut,Groundnut,मूंगफली,நிலக்கடலை,వేరుశనగ,চিনাবাদাম,મગફળી,भुईमूग,ਮੂੰਗਫਲੀ,مونگ پھلی,ನೆಲಗಡಲೆ,നിലക്കടല,ଭୂତଳ
jowar,Jowar,ज्वार,ஜோவர்,జోవర్,জোয়ার,જુવાર,ज्वारी,ਜਵਾਰ,جوار,ಜೋವರ್,ജോവർ,ଜୋୱାର୍ |
jute,Jute,जूट,சணல்,జనపనార,পাট,જ્યુટ,ज्यूट,ਜੂਟ,جوٹ,ಸೆಣಬು,ചണം,ଜଟ୍
maize,Maize,मक्का,சோளம்,మొక్కజొన్న,ভুট্টা,મકાઈ,मका,ਮੱਕੀ,مکئی,ಮೆಕ್ಕೆಜೋಳ,ചോളം,ମକା
masoor,Masoor,मसूर,மசூர்,మసూర్,মাসুর,મસૂર,मसूर,ਮਸੂਰ,مسور,ಮಸೂರ್,മസൂർ,ମାସୁର |
moong,Moong,मूंग,மூங்,మూంగ్,মুং,મૂંગ,मूग,ਮੂੰਗ,مونگ,ಮೂಂಗ್,മൂംഗ്,ମୁଙ୍ଗ
mustard,Mustard,सरसों,கடுகு,ఆవాలు,সরিষা,સરસવ,मोहरी,ਸਰ੍ਹੋਂ,سرسوں,ಸಾಸಿವೆ,കടുക്,ସୋରିଷ |
onion,Onion,प्याज,வெங்காயம்,ఉల్లిపాయ,পেঁয়াজ,ડુંગળી,कांदा,ਪਿਆਜ,پیاز,ಈರುಳ್ಳಿ,ഉള്ളി,ପିଆଜ |
orange,Orange,नारंगी,ஆரஞ்சு,నారింజ రంగు,কমলা,નારંગી,केशरी,ਸੰਤਰਾ,کینو,ಕಿತ್ತಳೆ,ഓറഞ്ച്,କମଳା |
